name,type,dno,ss_voltages,proposed_voltage,connection_status,total_demand_number,total_demand_capacity_mw,total_generation_number,total_generation_capacity_mw
Willesley,primary,NGED,"['11', '33']",11,pending,1,1,0,0
East Claydon,gsp,NGED,['132'],132,pending,2,220,4,286
Bletchley,primary,NGED,['11'],11,pending,1,1,0,0
Kingston,primary,NGED,"['11', '33']",11,pending,2,3,0,0
Secklow Gate,primary,NGED,"['11', '33']",11,pending,1,1.6,0,0
Tattenhoe,primary,NGED,[],11,pending,1,9.199,1,2.925
Wavendon Gate,primary,NGED,"['11', '33']",11,pending,4,10.086,0,0
Brackley,primary,NGED,['11'],11,pending,3,6.921,2,4.2
Silverstone,primary,NGED,"['11', '33']",11,pending,1,1,0,0
Towcester,primary,NGED,"['11', '33']",11,pending,1,1,0,0
Childs Way,primary,NGED,"['11', '33']",11,pending,2,8.881,0,0
Marlborough Street,primary,NGED,"['11', '33']",11,pending,2,3.15,0,0
Newport Pagnell,primary,NGED,"['11', '33']",11,pending,3,7.229,0,0
Wolverton,primary,NGED,"['11', '33']",11,pending,1,1,0,0
Stony Stratford,bsp,NGED,['33'],33,pending,0,0,1,21.875
Buckingham,primary,NGED,"['11', '33']",11,pending,3,4,0,0
Eldergate,primary,NGED,"['11', '33']",11,pending,1,1.322,0,0
Shenley Wood,primary,NGED,"['11', '33']",11,pending,1,1.3,0,0
Steeple Claydon,primary,NGED,"['11', '33']",11,pending,1,1,0,0
Enderby,gsp,NGED,['132'],132,pending,1,20,1,1.56
Bardon,primary,NGED,"['11', '33']",11,pending,2,5.65,0,0
Mantle Lane Coalville,primary,NGED,"['11', '33']",11,pending,2,3.437,0,0
Osbaston,primary,NGED,"['11', '33']",11,pending,1,1.57,0,0
Braunstone,primary,NGED,"['11', '33']",11,pending,1,2.168,0,0
Thurnby,primary,NGED,"['11', '33']",11,pending,1,3.378,0,0
Beaumont Leys,primary,NGED,"['11', '33']",11,pending,4,12.469,1,1.898
Birstall,primary,NGED,"['11', '33']",11,pending,1,1.569,0,0
Groby Road,primary,NGED,"['11', '33']",11,pending,2,11.3,0,0
Lero,primary,NGED,"['6.6', '33']",6.6,pending,1,2.3,0,0
Alliance And Leicester,primary,NGED,"['11', '33']",11,pending,1,6,0,0
Whetstone,primary,NGED,"['11', '33']",11,pending,1,6,0,0
Wigston Magna,primary,NGED,"['11', '33']",11,pending,4,6.587,1,1.06
Grendon,gsp,NGED,['132'],132,pending,1,500,1,500
Corby Central,primary,NGED,"['11', '33']",11,pending,1,1.5,0,0
Corby No2,primary,NGED,['11'],11,pending,2,4.34,1,1.7
Earlstrees,primary,NGED,"['11', '33']",11,pending,1,5,0,0
Hazelwood,primary,NGED,"['11', '33']",11,pending,2,5.25,1,6.65
Oakley,primary,NGED,"['11', '33']",11,pending,1,1.708,0,0
Irthlingborough,bsp,NGED,['33'],33,pending,1,31,1,31
Pytchley Road,primary,NGED,"['11', '33']",11,pending,3,3.5,0,0
Kettering,bsp,NGED,['33'],33,pending,1,5,1,5
Burton Latimer,primary,NGED,"['11', '33']",11,pending,0,0,1,4.2
Desborough,primary,NGED,"['11', '33']",11,pending,1,1.218,0,0
Field Street,primary,NGED,"['11', '33']",11,pending,1,2,0,0
Kibworth,primary,NGED,['11'],11,pending,1,1.25,0,0
Melton Mowbray,bsp,NGED,['33'],33,pending,0,0,1,40
Holwell,primary,NGED,"['11', '33']",11,pending,1,1.554,0,0
Melton Mowbray,primary,NGED,['11'],11,pending,5,8.428,0,0
Northampton,bsp,NGED,['33'],33,pending,0,0,1,40
Wootton,primary,NGED,"['11', '33']",11,pending,2,3.286,0,0
Northampton East,bsp,NGED,['33'],33,pending,2,45.1,1,39.6
Banbury Lane,primary,NGED,"['11', '33']",11,pending,2,5.38,0,0
Ellesmere Avenue,primary,NGED,"['11', '33']",11,pending,1,1,0,0
Empingham,primary,NGED,"['11', '33']",11,pending,1,5.32,0,0
Oakham,primary,NGED,['11'],11,pending,1,1,0,0
Sharnbrook,primary,NGED,"['11', '33']",11,pending,2,3.88,0,0
Atherstone,primary,NGED,"['11', '33']",11,pending,1,1.461,0,0
Wood End,primary,NGED,"['11', '33']",11,pending,1,3,0,0
Tamworth Town,primary,NGED,['11'],11,pending,2,5.075,0,0
Ratcliffe On Soar,gsp,NGED,['132'],132,pending,1,70,1,70
Loughborough,primary,NGED,['11'],11,pending,3,5.7,0,0
